Consumption (kwh), Estimated Cost Inc. Tax (p), Start, End
0.054,1.32, 2025-02-10T00:00:00+00:00, 2025-02-10T00:30:00+00:00
0.065,1.58, 2025-02-10T00:30:00+00:00, 2025-02-10T01:00:00+00:00
0.062,1.51, 2025-02-10T01:00:00+00:00, 2025-02-10T01:30:00+00:00
0.051,1.24, 2025-02-10T01:30:00+00:00, 2025-02-10T02:00:00+00:00
0.076,1.85, 2025-02-10T02:00:00+00:00, 2025-02-10T02:30:00+00:00
0.048,1.17, 2025-02-10T02:30:00+00:00, 2025-02-10T03:00:00+00:00
0.113,2.75, 2025-02-10T03:00:00+00:00, 2025-02-10T03:30:00+00:00
0.086,2.09, 2025-02-10T03:30:00+00:00, 2025-02-10T04:00:00+00:00
0.057,1.39, 2025-02-10T04:00:00+00:00, 2025-02-10T04:30:00+00:00
0.098,2.39, 2025-02-10T04:30:00+00:00, 2025-02-10T05:00:00+00:00
0.111,2.7, 2025-02-10T05:00:00+00:00, 2025-02-10T05:30:00+00:00
0.093,2.27, 2025-02-10T05:30:00+00:00, 2025-02-10T06:00:00+00:00
0.082,2, 2025-02-10T06:00:00+00:00, 2025-02-10T06:30:00+00:00
0.08,1.95, 2025-02-10T06:30:00+00:00, 2025-02-10T07:00:00+00:00
0.083,2.02, 2025-02-10T07:00:00+00:00, 2025-02-10T07:30:00+00:00
0.163,3.97, 2025-02-10T07:30:00+00:00, 2025-02-10T08:00:00+00:00
0.345,8.4, 2025-02-10T08:00:00+00:00, 2025-02-10T08:30:00+00:00
0.388,9.45, 2025-02-10T08:30:00+00:00, 2025-02-10T09:00:00+00:00
0.324,7.89, 2025-02-10T09:00:00+00:00, 2025-02-10T09:30:00+00:00
0.349,8.5, 2025-02-10T09:30:00+00:00, 2025-02-10T10:00:00+00:00
0.566,13.79, 2025-02-10T10:00:00+00:00, 2025-02-10T10:30:00+00:00
0.558,13.59, 2025-02-10T10:30:00+00:00, 2025-02-10T11:00:00+00:00
0.847,20.63, 2025-02-10T11:00:00+00:00, 2025-02-10T11:30:00+00:00
0.306,7.45, 2025-02-10T11:30:00+00:00, 2025-02-10T12:00:00+00:00
0.246,5.99, 2025-02-10T12:00:00+00:00, 2025-02-10T12:30:00+00:00
0.199,4.85, 2025-02-10T12:30:00+00:00, 2025-02-10T13:00:00+00:00
0.17,4.14, 2025-02-10T13:00:00+00:00, 2025-02-10T13:30:00+00:00
0.18,4.38, 2025-02-10T13:30:00+00:00, 2025-02-10T14:00:00+00:00
0.295,7.19, 2025-02-10T14:00:00+00:00, 2025-02-10T14:30:00+00:00
0.192,4.68, 2025-02-10T14:30:00+00:00, 2025-02-10T15:00:00+00:00
0.147,3.58, 2025-02-10T15:00:00+00:00, 2025-02-10T15:30:00+00:00
